,2022（令和４）年,国民生活基礎調査,,,
,２健康票,第137表　総傷病数，性・年齢（３区分階級）・傷病（複数回答）・都道府県－21大都市（再掲）別,,,
,注：通院者には、入院者は含まない。,,,,
,傷病（複数回答）,総　　数,65歳以上,65歳以上人口数,65歳以上の傷病数と人口の割合
全　　　国,全　　　国,,,"40,294",0.0%
全　　　国,通院者数,51025,28063,"40,294",69.6%
全　　　国,糖尿病,6811,4804,"40,294",11.9%
全　　　国,肥満症,659,356,"40,294",0.9%
全　　　国,脂質異常症（高コレステロール血症等）,8054,5246,"40,294",13.0%
全　　　国,甲状腺の病気,1821,960,"40,294",2.4%
全　　　国,うつ病やその他のこころの病気,2631,588,"40,294",1.5%
全　　　国,認知症,817,805,"40,294",2.0%
全　　　国,パーキンソン病,288,260,"40,294",0.6%
全　　　国,その他の神経の病気（神経痛・麻痺等）,836,424,"40,294",1.1%
全　　　国,眼の病気,7058,5366,"40,294",13.3%
全　　　国,耳の病気,1281,897,"40,294",2.2%
全　　　国,高血圧症,17240,12604,"40,294",31.3%
全　　　国,脳卒中（脳出血、脳梗塞等）,1305,1039,"40,294",2.6%
全　　　国,狭心症・心筋梗塞,2193,1818,"40,294",4.5%
全　　　国,その他の循環器系の病気,2468,1908,"40,294",4.7%
全　　　国,急性鼻咽頭炎（かぜ）,191,56,"40,294",0.1%
全　　　国,アレルギー性鼻炎,2900,1078,"40,294",2.7%
全　　　国,慢性閉塞性肺疾患（COPD）,206,173,"40,294",0.4%
全　　　国,喘息,1673,697,"40,294",1.7%
全　　　国,その他の呼吸器系の病気,1379,920,"40,294",2.3%
全　　　国,胃・十二指腸の病気,1747,1226,"40,294",3.0%
全　　　国,肝臓・胆のうの病気,1008,631,"40,294",1.6%
全　　　国,その他の消化器系の病気,1721,1019,"40,294",2.5%
全　　　国,歯の病気,6418,3393,"40,294",8.4%
全　　　国,アトピー性皮膚炎,1319,150,"40,294",0.4%
全　　　国,その他の皮膚の病気,2460,1089,"40,294",2.7%
全　　　国,痛風,1306,677,"40,294",1.7%
全　　　国,関節リウマチ,990,680,"40,294",1.7%
全　　　国,関節症,2556,1785,"40,294",4.4%
全　　　国,肩こり症,2804,1513,"40,294",3.8%
全　　　国,腰痛症,5867,3964,"40,294",9.8%
全　　　国,骨粗しょう症,2532,2316,"40,294",5.7%
全　　　国,腎臓の病気,1401,974,"40,294",2.4%
全　　　国,前立腺肥大症,1756,1611,"40,294",4.0%
全　　　国,閉経期又は閉経後障害（更年期障害等）,318,25,"40,294",0.1%
全　　　国,骨折,847,589,"40,294",1.5%
全　　　国,骨折以外のけが・やけど,709,255,"40,294",0.6%
全　　　国,貧血・血液の病気,814,415,"40,294",1.0%
全　　　国,悪性新生物（がん）,1352,875,"40,294",2.2%
全　　　国,妊娠・産褥（切迫流産、前置胎盤等）,104,-,"40,294",#VALUE!
全　　　国,不妊症,109,-,"40,294",#VALUE!
全　　　国,その他,3260,1005,"40,294",2.5%
全　　　国,不　明,171,63,"40,294",0.2%
全　　　国,不　　詳,276,171,"40,294",0.4%
北　海　道,北　海　道,,,"1,953",0.0%
北　海　道,通院者数,2401,1403,"1,953",71.8%
北　海　道,糖尿病,355,252,"1,953",12.9%
北　海　道,肥満症,30,14,"1,953",0.7%
北　海　道,脂質異常症（高コレステロール血症等）,398,263,"1,953",13.5%
北　海　道,甲状腺の病気,104,57,"1,953",2.9%
北　海　道,うつ病やその他のこころの病気,115,26,"1,953",1.3%
北　海　道,認知症,34,33,"1,953",1.7%
北　海　道,パーキンソン病,15,14,"1,953",0.7%
北　海　道,その他の神経の病気（神経痛・麻痺等）,27,13,"1,953",0.7%
北　海　道,眼の病気,284,224,"1,953",11.5%
北　海　道,耳の病気,66,48,"1,953",2.5%
北　海　道,高血圧症,843,635,"1,953",32.5%
北　海　道,脳卒中（脳出血、脳梗塞等）,75,59,"1,953",3.0%
北　海　道,狭心症・心筋梗塞,126,105,"1,953",5.4%
北　海　道,その他の循環器系の病気,139,110,"1,953",5.6%
北　海　道,急性鼻咽頭炎（かぜ）,10,4,"1,953",0.2%
北　海　道,アレルギー性鼻炎,156,65,"1,953",3.3%
北　海　道,慢性閉塞性肺疾患（COPD）,7,7,"1,953",0.4%
北　海　道,喘息,103,55,"1,953",2.8%
北　海　道,その他の呼吸器系の病気,71,48,"1,953",2.5%
北　海　道,胃・十二指腸の病気,91,66,"1,953",3.4%
北　海　道,肝臓・胆のうの病気,66,42,"1,953",2.2%
北　海　道,その他の消化器系の病気,96,59,"1,953",3.0%
北　海　道,歯の病気,244,129,"1,953",6.6%
北　海　道,アトピー性皮膚炎,66,11,"1,953",0.6%
北　海　道,その他の皮膚の病気,112,54,"1,953",2.8%
北　海　道,痛風,65,36,"1,953",1.8%
北　海　道,関節リウマチ,58,42,"1,953",2.2%
北　海　道,関節症,111,76,"1,953",3.9%
北　海　道,肩こり症,112,68,"1,953",3.5%
北　海　道,腰痛症,230,166,"1,953",8.5%
北　海　道,骨粗しょう症,113,104,"1,953",5.3%
北　海　道,腎臓の病気,61,41,"1,953",2.1%
北　海　道,前立腺肥大症,92,84,"1,953",4.3%
北　海　道,閉経期又は閉経後障害（更年期障害等）,15,2,"1,953",0.1%
北　海　道,骨折,28,24,"1,953",1.2%
北　海　道,骨折以外のけが・やけど,30,14,"1,953",0.7%
北　海　道,貧血・血液の病気,36,15,"1,953",0.8%
北　海　道,悪性新生物（がん）,73,45,"1,953",2.3%
北　海　道,妊娠・産褥（切迫流産、前置胎盤等）,6,-,"1,953",#VALUE!
北　海　道,不妊症,2,-,"1,953",#VALUE!
北　海　道,その他,166,54,"1,953",2.8%
北　海　道,不　明,8,1,"1,953",0.1%
北　海　道,不　　詳,12,7,"1,953",0.4%
青　　　森,青　　　森,,,436,0.0%
青　　　森,通院者数,566,314,436,72.0%
青　　　森,糖尿病,85,58,436,13.3%
青　　　森,肥満症,6,3,436,0.7%
青　　　森,脂質異常症（高コレステロール血症等）,99,58,436,13.3%
青　　　森,甲状腺の病気,17,9,436,2.1%
青　　　森,うつ病やその他のこころの病気,25,7,436,1.6%
青　　　森,認知症,8,7,436,1.6%
青　　　森,パーキンソン病,2,2,436,0.5%
青　　　森,その他の神経の病気（神経痛・麻痺等）,10,6,436,1.4%
青　　　森,眼の病気,83,64,436,14.7%
青　　　森,耳の病気,15,11,436,2.5%
青　　　森,高血圧症,222,152,436,34.9%
青　　　森,脳卒中（脳出血、脳梗塞等）,17,14,436,3.2%
青　　　森,狭心症・心筋梗塞,29,24,436,5.5%
青　　　森,その他の循環器系の病気,27,20,436,4.6%
青　　　森,急性鼻咽頭炎（かぜ）,2,0,436,0.0%
青　　　森,アレルギー性鼻炎,32,9,436,2.1%
青　　　森,慢性閉塞性肺疾患（COPD）,1,1,436,0.2%
青　　　森,喘息,18,8,436,1.8%
青　　　森,その他の呼吸器系の病気,12,9,436,2.1%
青　　　森,胃・十二指腸の病気,20,13,436,3.0%
青　　　森,肝臓・胆のうの病気,11,7,436,1.6%
青　　　森,その他の消化器系の病気,17,10,436,2.3%
青　　　森,歯の病気,44,19,436,4.4%
青　　　森,アトピー性皮膚炎,8,1,436,0.2%
青　　　森,その他の皮膚の病気,23,11,436,2.5%
青　　　森,痛風,16,7,436,1.6%
青　　　森,関節リウマチ,13,9,436,2.1%
青　　　森,関節症,28,21,436,4.8%
青　　　森,肩こり症,18,12,436,2.8%
青　　　森,腰痛症,62,43,436,9.9%
青　　　森,骨粗しょう症,35,32,436,7.3%
青　　　森,腎臓の病気,14,9,436,2.1%
青　　　森,前立腺肥大症,19,16,436,3.7%
青　　　森,閉経期又は閉経後障害（更年期障害等）,3,1,436,0.2%
青　　　森,骨折,7,3,436,0.7%
青　　　森,骨折以外のけが・やけど,6,3,436,0.7%
青　　　森,貧血・血液の病気,8,4,436,0.9%
青　　　森,悪性新生物（がん）,12,8,436,1.8%
青　　　森,妊娠・産褥（切迫流産、前置胎盤等）,1,-,436,#VALUE!
青　　　森,不妊症,1,-,436,#VALUE!
青　　　森,その他,36,11,436,2.5%
青　　　森,不　明,1,1,436,0.2%
青　　　森,不　　詳,2,1,436,0.2%
岩　　　手,岩　　　手,,,442,0.0%
岩　　　手,通院者数,578,326,442,73.8%
岩　　　手,糖尿病,81,57,442,12.9%
岩　　　手,肥満症,8,4,442,0.9%
岩　　　手,脂質異常症（高コレステロール血症等）,90,58,442,13.1%
岩　　　手,甲状腺の病気,19,11,442,2.5%
岩　　　手,うつ病やその他のこころの病気,31,9,442,2.0%
岩　　　手,認知症,10,10,442,2.3%
岩　　　手,パーキンソン病,2,2,442,0.5%
岩　　　手,その他の神経の病気（神経痛・麻痺等）,10,5,442,1.1%
岩　　　手,眼の病気,91,70,442,15.8%
岩　　　手,耳の病気,13,9,442,2.0%
岩　　　手,高血圧症,228,168,442,38.0%
岩　　　手,脳卒中（脳出血、脳梗塞等）,19,16,442,3.6%
岩　　　手,狭心症・心筋梗塞,24,20,442,4.5%
岩　　　手,その他の循環器系の病気,36,27,442,6.1%
岩　　　手,急性鼻咽頭炎（かぜ）,2,1,442,0.2%
岩　　　手,アレルギー性鼻炎,31,11,442,2.5%
岩　　　手,慢性閉塞性肺疾患（COPD）,2,2,442,0.5%
岩　　　手,喘息,17,8,442,1.8%
岩　　　手,その他の呼吸器系の病気,14,9,442,2.0%
岩　　　手,胃・十二指腸の病気,26,18,442,4.1%
岩　　　手,肝臓・胆のうの病気,12,7,442,1.6%
岩　　　手,その他の消化器系の病気,19,11,442,2.5%
岩　　　手,歯の病気,63,32,442,7.2%
岩　　　手,アトピー性皮膚炎,12,2,442,0.5%
岩　　　手,その他の皮膚の病気,28,12,442,2.7%
岩　　　手,痛風,17,8,442,1.8%
岩　　　手,関節リウマチ,11,8,442,1.8%
岩　　　手,関節症,28,20,442,4.5%
岩　　　手,肩こり症,23,14,442,3.2%
岩　　　手,腰痛症,64,46,442,10.4%
岩　　　手,骨粗しょう症,34,32,442,7.2%
岩　　　手,腎臓の病気,13,9,442,2.0%
岩　　　手,前立腺肥大症,21,19,442,4.3%
岩　　　手,閉経期又は閉経後障害（更年期障害等）,4,0,442,0.0%
岩　　　手,骨折,8,5,442,1.1%
